,,,,,,,,,,,,,
Horas frente a la pantalla,,,,Uso de aplicaciones en promedio semanal,,,,Distribucion por categorias,,,,Nro de notificaciones,
Fecha,Horas,,,Datos personales,Horas,,,Actividad,Horas,,, FECHA,NUMERO DE NOTIFICACIONES
3/2/2002,11.28,,,Whatsapp,26,,,Redes Sociales,51,,,3/2/2002,444
3/3/2002,6,,,Instagram,14.09,,,Ocio,1.88,,,3/3/2002,320
3/4/2002,6.9,,,Tiktok,8,,,Creatividad,1.51,,,3/4/2002,120
3/5/2002,7.04,,,Twitter,1.88,,,,,,,3/5/2002,189
3/6/2002,8.65,,,Spotify,1.48,,,,,,,3/6/2002,148
3/7/2002,10.93,,,Camara,1,,,,,,,3/7/2002,203
3/8/2002,6.35,,,Safari,0.95,,,,,,,3/8/2002,229
3/9/2002,4.53,,,Fotos,0.52,,,,,,,3/9/2002,500
3/10/2002,9.53,,,Mail,0.45,,,,,,,3/10/2002,238
3/11/2002,6.58,,,Youtube,0.35,,,,,,,3/11/2002,336
3/12/2002,12.88,,,,,,,,,,,3/12/2002,110
3/13/2002,7.4,,,,,,,,,,,3/13/2002,126
3/14/2002,12.42,,,,,,,,,,,3/14/2002,321
3/14/2002,7.73,,,,,,,,,,,3/14/2002,154
3/15/2002,4.72,,,,,,,,,,,3/15/2002,415
3/16/2002,9.22,,,,,,,,,,,3/16/2002,287
3/17/2002,9.4,,,,,,,,,,,3/17/2002,116
3/18/2002,7.4,,,,,,,,,,,3/18/2002,268
3/19/2002,11.84,,,,,,,,,,,3/19/2002,297
3/20/2002,10.95,,,,,,,,,,,3/20/2002,123
3/21/2002,7.27,,,,,,,,,,,3/21/2002,396
3/22/2002,7.9,,,,,,,,,,,3/22/2002,77
3/23/2002,7.87,,,,,,,,,,,3/23/2002,216
3/24/2002,6.44,,,,,,,,,,,3/24/2002,149
3/25/2002,5.8,,,,,,,,,,,3/25/2002,216
3/26/2002,7.9,,,,,,,,,,,3/26/2002,189
3/27/2002,5.6,,,,,,,,,,,3/27/2002,96
3/28/2002,4.1,,,,,,,,,,,3/28/2002,159
3/29/2002,8.22,,,,,,,,,,,3/29/2002,124
3/30/2002,,,,,,,,,,,,3/30/2002,94
3/31/2002,,,,,,,,,,,,3/31/2002,184
