Horas frente a la pantalla,,,Uso de aplicaciones en promedio semanal,,,Aplicaciones por categoria,,,Numero de Notificaciones ,
Fecha,Horas,,Aplicacion,Horas,,Actividad,Horas,,Fecha,Notificaciones
3/3/2022,11.28,,Whatsapp,26,,Redes Sociales,51,,3/3/2022,444
3/4/2022,6,,Instagram,14.09,,Ocio,1.88,,3/4/2022,320
3/5/2022,6.9,,Tiktok,8,,Creatividad,1.51,,3/5/2022,120
3/6/2022,7.04,,Twitter,1.88,,,,,3/6/2022,189
3/7/2022,8.65,,Spotify,1.48,,,,,3/7/2022,148
3/8/2022,10.93,,Camara,1,,,,,3/8/2022,203
3/9/2022,6.35,,Safari,0.95,,,,,3/9/2022,229
3/10/2022,4.53,,Fotos,0.52,,,,,3/10/2022,500
3/11/2022,9.53,,Mail,0.45,,,,,3/11/2022,238
3/12/2022,6.58,,Youtube,0.35,,,,,3/12/2022,336
3/13/2022,12.88,,,,,,,,3/13/2022,110
3/14/2022,7.4,,,,,,,,3/14/2022,126
3/15/2022,12.42,,,,,,,,3/15/2022,321
3/16/2022,7.73,,,,,,,,3/16/2022,154
3/17/2022,4.72,,,,,,,,3/17/2022,415
3/18/2022,9.22,,,,,,,,3/18/2022,287
3/19/2022,9.4,,,,,,,,3/19/2022,116
3/20/2022,7.4,,,,,,,,3/20/2022,268
3/21/2022,11.84,,,,,,,,3/21/2022,297
3/22/2022,10.95,,,,,,,,3/22/2022,123
3/23/2022,7.27,,,,,,,,3/23/2022,396
3/24/2022,7.9,,,,,,,,3/24/2022,77
3/25/2022,7.87,,,,,,,,3/25/2022,216
3/26/2022,6.44,,,,,,,,3/26/2022,149
3/27/2022,5.8,,,,,,,,3/27/2022,216
3/28/2022,7.9,,,,,,,,3/28/2022,189
3/29/2022,5.6,,,,,,,,3/29/2022,96
3/30/2022,4.1,,,,,,,,3/30/2022,159
3/31/2022,8.22,,,,,,,,3/31/2022,124
